study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB12357	SAMEA3882556	ERX1368755	ERR1297423	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/003/ERR1297423/ERR1297423.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297423/FAT_DON_19-22-0-0_13s000094-2-1_lane8.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882515	ERX1368756	ERR1297424	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/004/ERR1297424/ERR1297424.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297424/FAT_010-22-2-0_13s000032-1-1_lane6.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882539	ERX1368757	ERR1297425	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/005/ERR1297425/ERR1297425.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297425/FAT_020-22-14-0_13s000030-1-1_lane5.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882555	ERX1368758	ERR1297426	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/006/ERR1297426/ERR1297426.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297426/FAT_DON_11-22-0-6_13s000061-1-1_lane5.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882554	ERX1368759	ERR1297427	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/007/ERR1297427/ERR1297427.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297427/FAT_DON_11-22-0-5_13s000052-1-1_lane6.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882557	ERX1368760	ERR1297428	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/008/ERR1297428/ERR1297428.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297428/FAT_DON_8-22-0-0_13s000039-1-1_lane6.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882509	ERX1368761	ERR1297429	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/009/ERR1297429/ERR1297429.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297429/FAT_008-22-14-0_13s000062-1-1_lane6.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882551	ERX1368762	ERR1297430	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/000/ERR1297430/ERR1297430.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297430/FAT_024-22-42-0_13s000044-2-1_lane1.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882530	ERX1368763	ERR1297431	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/001/ERR1297431/ERR1297431.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297431/FAT_015-22-2-0_13s000124-2-1_lane8.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882517	ERX1368764	ERR1297432	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/002/ERR1297432/ERR1297432.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297432/FAT_010-22-84-0_13s000053-2-1_lane8.screened.adapter.screened.hg19.single.fq.gz	
