run_accession	alias	sample_accession	experiment_accession	library_layout
ERR1297423	FAT_DON_19-22-0-0	SAMEA3882556	ERX1368755	SINGLE
ERR1297424	FAT_010-22-2-0	SAMEA3882515	ERX1368756	SINGLE
ERR1297425	FAT_020-22-14-0	SAMEA3882539	ERX1368757	SINGLE
ERR1297426	FAT_DON_11-22-0-6	SAMEA3882555	ERX1368758	SINGLE
ERR1297427	FAT_DON_11-22-0-5	SAMEA3882554	ERX1368759	SINGLE
ERR1297428	FAT_DON_8-22-0-0	SAMEA3882557	ERX1368760	SINGLE
ERR1297429	FAT_008-22-14-0	SAMEA3882509	ERX1368761	SINGLE
ERR1297430	FAT_024-22-42-0	SAMEA3882551	ERX1368762	SINGLE
ERR1297431	FAT_015-22-2-0	SAMEA3882530	ERX1368763	SINGLE
ERR1297432	FAT_010-22-84-0	SAMEA3882517	ERX1368764	SINGLE
ERR1297433	FAT_024-22-2-0	SAMEA3882550	ERX1368765	SINGLE
ERR1297434	FAT_008-22-2-0	SAMEA3882510	ERX1368766	SINGLE
ERR1297435	FAT_008-22-42-0	SAMEA3882511	ERX1368767	SINGLE
ERR1297436	FAT_008-22-14-0	SAMEA3882509	ERX1368768	SINGLE
ERR1297437	FAT_020-22-0-0	SAMEA3882538	ERX1368769	SINGLE
ERR1297438	FAT_017-22-2-0	SAMEA3882535	ERX1368770	SINGLE
ERR1297439	FAT_014-22-14-0	SAMEA3882524	ERX1368771	SINGLE
ERR1297440	FAT_023-22-84-0	SAMEA3882547	ERX1368772	SINGLE
ERR1297441	FAT_017-22-0-0	SAMEA3882533	ERX1368773	SINGLE
ERR1297442	FAT_010-22-42-0	SAMEA3882516	ERX1368774	SINGLE
ERR1297443	FAT_014-22-42-0	SAMEA3882526	ERX1368775	SINGLE
ERR1297444	FAT_023-22-42-0	SAMEA3882546	ERX1368776	SINGLE
ERR1297445	FAT_015-22-42-0	SAMEA3882531	ERX1368777	SINGLE
ERR1297446	FAT_008-22-0-0	SAMEA3882508	ERX1368778	SINGLE
ERR1297447	FAT_010-22-2-0	SAMEA3882515	ERX1368779	SINGLE
ERR1297448	FAT_024-22-42-0	SAMEA3882551	ERX1368780	SINGLE
ERR1297449	FAT_008-22-84-0	SAMEA3882512	ERX1368781	SINGLE
ERR1297450	FAT_023-22-84-0	SAMEA3882547	ERX1368782	SINGLE
ERR1297451	FAT_014-22-0-0	SAMEA3882523	ERX1368783	SINGLE
ERR1297452	FAT_023-22-14-0	SAMEA3882544	ERX1368784	SINGLE
ERR1297453	FAT_020-22-84-0	SAMEA3882542	ERX1368785	SINGLE
ERR1297454	FAT_017-22-0-0	SAMEA3882533	ERX1368786	SINGLE
ERR1297455	FAT_017-22-84-0	SAMEA3882537	ERX1368787	SINGLE
ERR1297456	FAT_010-22-42-0	SAMEA3882516	ERX1368788	SINGLE
ERR1297457	FAT_012-22-42-0	SAMEA3882521	ERX1368789	SINGLE
ERR1297458	FAT_008-22-2-0	SAMEA3882510	ERX1368790	SINGLE
ERR1297459	FAT_006-22-0-0	SAMEA3882503	ERX1368791	SINGLE
ERR1297460	FAT_010-22-2-0	SAMEA3882515	ERX1368792	SINGLE
ERR1297461	FAT_024-22-0-0	SAMEA3882548	ERX1368793	SINGLE
